variant_id,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count
8,16,4,64,square,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
8,16,4,64,square,psk,severe_positive_drift,not_reached,0,3,0.4140625,0.5859375,0.0,1.0,350.0,0.13513513513513514,20.0,148.0
9,16,4,128,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
9,16,4,128,chirp,psk,combined_drift_timing,not_reached,0,3,0.296875,0.703125,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,chirp,psk,moderate_negative_drift,not_reached,0,3,0.6640625,0.3359375,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,chirp,psk,moderate_positive_drift,not_reached,0,3,0.6536458333333334,0.3463541666666667,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,chirp,psk,severe_positive_drift,not_reached,0,3,0.5598958333333334,0.4401041666666667,0.0,1.0,750.0,0.1111111111111111,16.0,144.0
9,16,4,128,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
9,16,4,128,sine,psk,combined_drift_timing,not_reached,0,3,0.13802083333333334,0.8619791666666666,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,sine,psk,moderate_negative_drift,not_reached,0,3,0.5703125,0.4296875,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,sine,psk,moderate_positive_drift,not_reached,0,3,0.5807291666666666,0.4192708333333333,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,sine,psk,severe_positive_drift,not_reached,0,3,0.6666666666666666,0.3333333333333333,0.0,1.0,750.0,0.1111111111111111,16.0,144.0
9,16,4,128,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
9,16,4,128,square,psk,combined_drift_timing,not_reached,0,3,0.2526041666666667,0.7473958333333334,0.0,1.0,583.3333333333334,0.1111111111111111,16.0,144.0
